date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-01-14,NG,24.0,Black,St. Paul,Minnesota,False,attack,Not fleeing,False,-93.094,44.958
2015-01-14,NG,29.0,White,Franklin County,Missouri,False,attack,Not fleeing,False,-90.794,38.317
2015-01-14,gun,34.0,Black,Chesapeake,Virginia,True,attack,Not fleeing,False,-76.348,36.783
2015-01-14,knife,75.0,White,Old Bridge,New Jersey,False,attack,Not fleeing,False,-74.301,40.405
2015-01-14,gun,68.0,White,Lake Jackson,Texas,False,attack,Not fleeing,False,-95.428,29.031
2015-01-14,knife,34.0,White,Draper,Utah,False,attack,Not fleeing,True,-111.887,40.54
2015-01-15,gun,27.0,Black,Indianapolis,Indiana,False,attack,Foot,False,-85.991,39.826
2015-01-15,gun,39.0,Black,Aurora,Colorado,False,attack,Not fleeing,False,-104.772,39.726
2015-01-15,gun,24.0,White,Bloomington,Minnesota,True,attack,Not fleeing,False,-93.358,44.825
2015-01-15,knife,36.0,Hispanic,Fairfield,California,True,other,Not fleeing,False,-121.997,38.266
2015-01-15,gun,33.0,White,Evangeline Parish,Louisiana,False,attack,Not fleeing,False,-92.441,30.748
2015-01-16,gun,41.0,White,Mabank,Texas,False,attack,Car,False,-96.069,32.407
2015-01-16,knife,48.0,NG,Fremont,California,False,other,Not fleeing,False,-122.06,37.588
2015-01-17,gun,21.0,Black,Muskogee,Oklahoma,False,attack,Foot,True,-95.394,35.766
2015-01-17,gun,24.0,Hispanic,Los Angeles,California,False,attack,Not fleeing,False,-118.233,34.038
2015-01-17,knife,27.0,Hispanic,Fort Worth,Texas,False,attack,Not fleeing,False,-97.334,32.811
2015-01-18,gun,32.0,White,Maricopa,Arizona,True,attack,Not fleeing,False,-112.042,33.085
2015-01-18,gun,67.0,White,Gunlock,Kentucky,True,attack,Not fleeing,False,-82.921,37.565
2015-01-19,knife,49.0,White,Weymouth,Massachusetts,False,attack,Not fleeing,False,-70.932,42.257
2015-01-20,NG,42.0,Black,Scottsdale,Arizona,False,other,Car,False,-111.909,33.509
2015-01-21,gun,36.0,White,Hemet,California,False,attack,Not fleeing,False,-116.958,33.742
